chunk_id,lenders,topic_intent,borrower_profile,asset_class,doc_type,loan_size_band,policy_fields,answerable_questions,confidence,last_verified
bfs_consumer_documentation,BFS,DOCUMENTATION,"CONSUMER, SELF_EMPLOYED","MV_NEW, MV_USED, LCV, MOTORBIKE, CARAVAN",FULL_DOC,ALL,DOC_TYPE,"What income evidence is required for PAYG / self-employed / rental / pension? How are affordability, board, and mortgage payments assessed? What is needed for settlement?",high,2026-06-28
bfs_vehicle_types,BFS,ASSET_ELIGIBILITY,"CONSUMER, COMMERCIAL","MV_NEW, MV_USED, LCV, MOTORBIKE, CARAVAN",ALL,ALL,ASSET_AGE_MAX,What vehicles can BFS finance? Can I finance a motorcycle / caravan / campervan? What conditions apply to electric motorcycles? Does BFS finance heavy equipment?,high,2026-06-28
bfs_exclusions,BFS,EXCLUSIONS,"CONSUMER, COMMERCIAL, SUBPRIME, DISCHARGED_BANKRUPT",ALL,ALL,ALL,PRIVATE_SALE_LOADING,"Is this loan purpose excluded (debt consolidation, cash-out, refinance)? What triggers an auto-decline? Are interlock licences accepted? What can't Tier 4 / BFS Plus do?",high,2026-06-28
bfs_private_sales,BFS,ASSET_ELIGIBILITY,"CONSUMER, COMMERCIAL","MV_NEW, MV_USED, LCV, MOTORBIKE",ALL,"SMALL, MEDIUM",PRIVATE_SALE_LOADING,What is required for a private sale? What rate loading and loan cap apply? What is the private-sale establishment fee?,high,2026-06-28
bfs_fees_and_commission,BFS,FEES,"CONSUMER, COMMERCIAL",ALL,ALL,ALL,BROKERAGE_MAX,What establishment / PPSR / account fees apply? What is the early termination fee (consumer vs commercial)? When is commission clawed back?,high,2026-06-28
westpac_channels_overview,WESTPAC,ELIGIBILITY,"COMMERCIAL, NEW_CLIENT, EXISTING_CLIENT, PROPERTY_BACKED",ALL,"LOW_DOC, FULL_DOC",ALL,"MIN_ABN, PROPERTY_REQUIRED, MAX_LOAN",Which Westpac channel suits me? What are the universal eligibility criteria? Do I need to sign an Affordability Declaration?,high,2026-06-28
westpac_drivexpress,WESTPAC,ELIGIBILITY,"COMMERCIAL, NEW_CLIENT, EXISTING_CLIENT, PROPERTY_BACKED","MV_NEW, MV_USED, LCV, PRIMARY",LOW_DOC,"MEDIUM, LARGE","MAX_LOAN, PROPERTY_REQUIRED, MIN_ABN",What is the DriveXpress limit for a new-to-bank vs existing client? Which assets are Category A/B/C? What is the DriveXpress exposure cap?,high,2026-06-28
westpac_rollover,WESTPAC,SPECIAL_PROGRAMS,"COMMERCIAL, EXISTING_CLIENT","MV_NEW, MV_USED, LCV, PRIMARY",LOW_DOC,"LARGE, XLARGE","MAX_LOAN, MIN_ABN",Can I roll over an existing contract? What is the max loan if the original funder is Westpac vs another financier? Am I eligible if new to bank?,high,2026-06-28
westpac_replacement,WESTPAC,SPECIAL_PROGRAMS,"COMMERCIAL, NEW_CLIENT, EXISTING_CLIENT, PROPERTY_BACKED","MV_NEW, MV_USED, LCV, PRIMARY",LOW_DOC,"MEDIUM, LARGE, XLARGE","MAX_LOAN, MIN_ABN",What is the Replacement limit for new vs existing clients? What repayment increase is allowed? Can I replace multiple contracts with one? What buses qualify?,high,2026-06-28
westpac_medical,WESTPAC,SPECIAL_PROGRAMS,"COMMERCIAL, MEDICAL_PROFESSIONAL, NEW_CLIENT, PROPERTY_BACKED","MV_NEW, MV_USED, MEDICAL_EQUIP, OFFICE_EQUIP",LOW_DOC,"MEDIUM, LARGE","MAX_LOAN, PROPERTY_REQUIRED",What are the Medical channel limits for specialists vs allied health? Which professions qualify? Are pharmacists included? What are cumulative approval caps?,high,2026-06-28
westpac_xpress_rates,WESTPAC,PRICING,COMMERCIAL,"MV_NEW, MV_USED, EV, LCV, PRIMARY",LOW_DOC,ALL,"BASE_RATE, EV_DISCOUNT, PRIVATE_SALE_LOADING, BROKERAGE_MAX",What is the Xpress rate for a car by term (dealer vs private sale)? What is the heavy-equipment Xpress rate? What EV discount applies? What is the max brokerage?,high,2026-06-15
westpac_standard_rates,WESTPAC,PRICING,COMMERCIAL,"MV_NEW, MV_USED, EV, PRIMARY",FULL_DOC,"MICRO, SMALL, MEDIUM","BASE_RATE, EV_DISCOUNT",What is the standard rate for a new motor vehicle / plant by amount and term? What is the used-vehicle loading? What EV discount applies?,high,2026-06-15
westpac_settlement,WESTPAC,SETTLEMENT,COMMERCIAL,"MV_NEW, MV_USED, LCV, PRIMARY",ALL,ALL,PPSR,What is required to settle? When is a Certificate of Currency needed and what is the fleet-policy exemption? When is a PPSR search not required?,high,2026-06-28
westpac_exclusions,WESTPAC,EXCLUSIONS,COMMERCIAL,ALL,ALL,ALL,ASSET_AGE_MAX,Is this loan structure or asset excluded? Are private sales allowed for heavy equipment? What geographic restrictions apply? What if DriveXpress criteria aren't met?,high,2026-06-28
cfal_eligibility,CFAL,ELIGIBILITY,"COMMERCIAL, ABN_2_4YR, ABN_4_6YR, ABN_OVER_6YR",ALL,FULL_DOC,ALL,"MIN_ABN, MIN_GST",Who can apply to CFAL? What ABN/GST duration is required? Must directors guarantee? Are consumer loans available?,high,2026-06-28
cfal_documentation_matrix,CFAL,DOCUMENTATION,"COMMERCIAL, SELF_EMPLOYED",ALL,FULL_DOC,"MEDIUM, LARGE, XLARGE","DOC_TYPE, MIN_ABN",What documents does CFAL require by transaction size? When are cash-flow projections / aged debtors needed? Is there a Low Doc option?,high,2026-06-28
cfal_drivexpress_policy,CFAL,ELIGIBILITY,"COMMERCIAL, NEW_CLIENT, EXISTING_CLIENT, PROPERTY_BACKED","MV_NEW, MV_USED, LCV, PRIMARY",LOW_DOC,"MEDIUM, LARGE","MAX_LOAN, PROPERTY_REQUIRED, MIN_ABN",What is the CFAL DriveXpress limit for new vs existing clients? Which assets are Category A/B/C? Are financials needed if fast-track criteria are met?,high,2026-06-28
cfal_rollover_policy,CFAL,SPECIAL_PROGRAMS,"COMMERCIAL, EXISTING_CLIENT","MV_NEW, MV_USED, LCV, PRIMARY",LOW_DOC,"LARGE, XLARGE","MAX_LOAN, MIN_ABN",Can I roll over a contract with CFAL? What is the max loan by original funder? Are new-to-bank clients eligible?,high,2026-06-28
cfal_replacement_policy,CFAL,SPECIAL_PROGRAMS,"COMMERCIAL, NEW_CLIENT, EXISTING_CLIENT, PROPERTY_BACKED","MV_NEW, MV_USED, LCV, PRIMARY",LOW_DOC,"MEDIUM, LARGE, XLARGE","MAX_LOAN, MIN_ABN",What is the CFAL Replacement limit for new vs existing clients? What repayment increase is allowed? What buses and loan term apply under Category C?,high,2026-06-28
cfal_medical_policy,CFAL,SPECIAL_PROGRAMS,"COMMERCIAL, MEDICAL_PROFESSIONAL, NEW_CLIENT, PROPERTY_BACKED","MV_NEW, MV_USED, MEDICAL_EQUIP, OFFICE_EQUIP",LOW_DOC,"MEDIUM, LARGE","MAX_LOAN, PROPERTY_REQUIRED",What are CFAL Medical limits for specialists vs allied health? Which professions qualify? Are pharmacists included?,high,2026-06-28
cfal_settlement,CFAL,SETTLEMENT,COMMERCIAL,"MV_NEW, MV_USED, LCV, PRIMARY",ALL,ALL,PPSR,What is required to settle with CFAL? When is a Certificate of Currency needed and what is the fleet-policy exemption? When is a PPSR search not required?,high,2026-06-28
cfal_exclusions,CFAL,EXCLUSIONS,COMMERCIAL,ALL,ALL,ALL,ASSET_AGE_MAX,Is this asset or structure excluded by CFAL? Are private sales allowed for heavy equipment? What geographic restrictions apply? What if DriveXpress criteria aren't met?,high,2026-06-28
angle_doc_types,ANGLE,DOCUMENTATION,"COMMERCIAL, PROPERTY_BACKED, SPOUSE_OWNED, ABN_2_4YR, ABN_4_6YR, ABN_OVER_6YR","MV_NEW, MV_USED, PRIMARY, SECONDARY, TERTIARY","LOW_DOC, MID_DOC, FULL_DOC","SMALL, MEDIUM, LARGE",,What documents does Angle require for Low Doc / Mid Doc / Full Doc? What credit score do I need at each tier? What is the max exposure per doc type? When are ATO portals required?,high,2026-07-09
angle_400k_low_doc,ANGLE,SPECIAL_PROGRAMS,"COMMERCIAL, PROPERTY_BACKED, SPOUSE_OWNED, ABN_OVER_6YR","MV_NEW, MV_USED, PRIMARY, SECONDARY",LOW_DOC,LARGE,,What is Angle's $400k Low Doc program? What credit score and ABN age qualify? Which assets and applicants are excluded? Which lenders count as an accepted credit reference?,high,2026-07-09
angle_interest_rates,ANGLE,PRICING,"COMMERCIAL, PROPERTY_BACKED, NON_PROPERTY_BACKED","PRIMARY, SECONDARY, TERTIARY, PRIME_MOVER",ALL,ALL,,What rate does Angle charge for primary / secondary / tertiary assets by end-of-term age? What is the prime mover rate? What loadings apply? What has no rate loading?,high,2026-07-09
angle_loan_structure,ANGLE,LOAN_LIMITS,"COMMERCIAL, PROPERTY_BACKED","MV_NEW, MV_USED, PRIMARY, SECONDARY, TERTIARY",ALL,ALL,,What loan terms does Angle offer? What balloon percentages apply by term? What total exposure does my credit score allow? What are the maximum asset ages?,high,2026-07-09
angle_start_up,ANGLE,SPECIAL_PROGRAMS,"COMMERCIAL, NEW_BUSINESS, NON_PROPERTY_BACKED",PRIMARY,NEW_BIZ,MEDIUM,,"Can a new business under 2 years ABN get finance from Angle? What is the Start-Up loan limit, deposit and credit score? What bank statements are needed? What qualifying questions apply?",high,2026-07-09
angle_prime_movers,ANGLE,SPECIAL_PROGRAMS,"COMMERCIAL, PROPERTY_BACKED, ABN_OVER_6YR","PRIME_MOVER, PRIMARY","MID_DOC, FULL_DOC",LARGE,,Does Angle finance prime movers? What entity types and ABN age qualify? What rate loading applies? Can I get a fleet credit limit? Is Low Doc available for prime movers?,high,2026-07-09
angle_property_and_deposits,ANGLE,ELIGIBILITY,"COMMERCIAL, PROPERTY_BACKED, NON_PROPERTY_BACKED, SPOUSE_OWNED",ALL,ALL,ALL,,Does Angle accept spousal property? What deposit do non-property owners pay? What proof of property ownership is required? How are boarders treated?,high,2026-07-09
angle_fees_brokerage,ANGLE,FEES,COMMERCIAL,ALL,ALL,ALL,,What fees does Angle charge? What is the establishment fee? What is the maximum brokerage? Is there an origination fee?,high,2026-07-09
angle_settlement,ANGLE,SETTLEMENT,COMMERCIAL,"MV_NEW, MV_USED, PRIMARY, SECONDARY, TERTIARY",ALL,ALL,,What does Angle require at settlement? When is a Certificate of Currency needed? What inspection is required for private sales? How are PPSR encumbrances handled?,high,2026-07-09
angle_exclusions,ANGLE,EXCLUSIONS,"COMMERCIAL, SUBPRIME",ALL,ALL,ALL,,Who is not accepted by Angle? Are taxi or Uber drivers eligible? What credit defaults are disqualifying? What is the minimum credit score?,high,2026-07-09
metro_interest_rates,METRO,PRICING,"COMMERCIAL, PROPERTY_BACKED, NON_PROPERTY_BACKED","MV_NEW, MV_USED, LCV, PRIMARY, SECONDARY",ALL,"MICRO, SMALL, MEDIUM, LARGE",,What is Metro's rate for a passenger vehicle / heavy commercial / wheeled plant? What loadings apply for older assets or private sale? How does brokerage affect the rate?,high,2026-04-01
metro_passenger_vehicle_streamlined,METRO,SPECIAL_PROGRAMS,"COMMERCIAL, NEW_CLIENT, EXISTING_CLIENT, PROPERTY_BACKED, NON_PROPERTY_BACKED, SPOUSE_OWNED","MV_NEW, MV_USED, LCV",LOW_DOC,"MEDIUM, LARGE",,What is Metro's passenger vehicle streamlined limit by property status? What exposure applies to new vs existing customers? What deposit for non-property backed? What are taxi/Uber limits?,high,2026-07-09
metro_trucks_trailers_streamlined,METRO,SPECIAL_PROGRAMS,"COMMERCIAL, NEW_CLIENT, EXISTING_CLIENT, PROPERTY_BACKED, NON_PROPERTY_BACKED, SPOUSE_OWNED","PRIMARY, LCV",LOW_DOC,"MEDIUM, LARGE",,What is Metro's truck and trailer streamlined limit? Are prime movers included? What is the max asset age at end of term? What eligible assets qualify?,high,2026-07-09
metro_agri_streamlined,METRO,SPECIAL_PROGRAMS,"COMMERCIAL, PROPERTY_BACKED, EXISTING_CLIENT, ABN_OVER_6YR","PRIMARY, TERTIARY",LOW_DOC,"MEDIUM, LARGE",,What is Metro's agri streamlined limit? What GST registration is required for agri? What is the minimum farm size? Which agricultural assets are excluded?,high,2026-07-09
metro_other_equipment_streamlined,METRO,SPECIAL_PROGRAMS,"COMMERCIAL, PROPERTY_BACKED","SECONDARY, TERTIARY",LOW_DOC,"SMALL, MEDIUM",,What is Metro's Other Equipment streamlined limit? What asset age applies? Which equipment is eligible vs non-eligible? Is private sale allowed?,high,2026-07-09
metro_replacement_policy,METRO,SPECIAL_PROGRAMS,"COMMERCIAL, NEW_CLIENT, EXISTING_CLIENT, PROPERTY_BACKED, NON_PROPERTY_BACKED, SPOUSE_OWNED","MV_NEW, MV_USED, LCV, PRIMARY",LOW_DOC,"MEDIUM, LARGE",,What is Metro's replacement policy limit? What repayment increase is allowed? How long must the replaced contract have run? Are prime movers excluded?,high,2026-07-09
metro_balloon_refinance,METRO,SPECIAL_PROGRAMS,"COMMERCIAL, NEW_CLIENT, EXISTING_CLIENT, PROPERTY_BACKED, NON_PROPERTY_BACKED, SPOUSE_OWNED","MV_NEW, MV_USED, PRIMARY, PRIME_MOVER",LOW_DOC,"MEDIUM, LARGE",,Can I refinance a balloon or residual with Metro? What is the limit? Are prime movers included? When must the account being replaced be?,medium,2026-07-09
metro_eco,METRO,SPECIAL_PROGRAMS,"COMMERCIAL, CONSUMER, PROPERTY_BACKED","EV, PRIMARY, SOLAR",LOW_DOC,"MEDIUM, LARGE",,What is MetroEco? What discount applies to electric vehicles and trucks? What loan terms are available for EVs and solar? What is the max loan amount for an EV?,high,2026-07-09
metro_exclusions,METRO,EXCLUSIONS,COMMERCIAL,ALL,ALL,ALL,,What does Metro not finance? Is sale and hire back allowed? What is the streamlined annual cap? Which equipment is non-eligible?,high,2026-07-09
flexi_flexipremium,FLEXI,PRICING,"COMMERCIAL, PROPERTY_BACKED, NON_PROPERTY_BACKED, ABN_4_6YR, ABN_OVER_6YR","PRIMARY, SECONDARY",ALL,"MEDIUM, LARGE",,What is flexipremium? What rates apply for primary and secondary assets? What time in business is required? Are sole traders eligible? What brokerage cap applies?,high,2026-05-15
flexi_standard_rates,FLEXI,PRICING,"COMMERCIAL, PROPERTY_BACKED, NON_PROPERTY_BACKED","PRIMARY, SECONDARY, TERTIARY, PRIME_MOVER",ALL,"MICRO, SMALL, MEDIUM, LARGE",,"What are flexicommercial's standard base rates by amount and asset class? What add-ons apply for prime movers, private sales, or non-asset backed? What is the max brokerage?",high,2026-05-15
flexi_credit_matrix,FLEXI,LOAN_LIMITS,"COMMERCIAL, PROPERTY_BACKED, NON_PROPERTY_BACKED, ABN_2_4YR","PRIMARY, SECONDARY, TERTIARY",ALL,"MICRO, SMALL, MEDIUM, LARGE, XLARGE",,How much can I borrow from flexicommercial by asset class? What ABN and GST duration is required? When is asset backing or a 20% deposit needed? What repayment history unlocks higher exposure?,high,2025-12-08
flexi_asset_categories,FLEXI,ASSET_ELIGIBILITY,COMMERCIAL,"PRIMARY, SECONDARY, TERTIARY, PRIME_MOVER",ALL,ALL,,Which category does an asset fall into at flexicommercial? What is the max asset age at end of term? Does flexi fund SUVs or passenger cars? What are Tier II assets?,high,2025-12-08
flexi_replacement_policy,FLEXI,SPECIAL_PROGRAMS,"COMMERCIAL, EXISTING_CLIENT, PROPERTY_BACKED",PRIMARY,ALL,LARGE,,What is flexireplacement? What is the maximum transaction size? What repayment increase is allowed? How long must the old facility have run? Can it be used for balloon refinance?,high,2024-08-01
flexi_refinance_products,FLEXI,SPECIAL_PROGRAMS,"COMMERCIAL, EXISTING_CLIENT","PRIMARY, SECONDARY",ALL,"MEDIUM, LARGE",,"What is flexi's mid-term refinancing? What is a Low Start Loan? What is ""Old Finance Meets New""? What brokerage applies to a mid-term refinance?",high,2026-07-09
flexi_fees,FLEXI,FEES,COMMERCIAL,ALL,ALL,ALL,,What is flexicommercial's establishment fee? What is the maximum brokerage? What is the minimum deal size? What fee applies to private sales and refinances?,high,2026-05-15
flexi_exclusions,FLEXI,EXCLUSIONS,"COMMERCIAL, SELF_EMPLOYED",ALL,ALL,ALL,,What assets will flexicommercial not fund? Are sole traders eligible for flexipremium? Are SUVs financed? What restrictions apply to transport operators?,high,2026-07-09
