chunk_id,lenders,topic_intent,borrower_profile,asset_class,doc_type,loan_size_band,policy_fields,answerable_questions,confidence,last_verified
bfs_consumer_documentation,BFS,DOCUMENTATION,"CONSUMER, SELF_EMPLOYED","MV_NEW, MV_USED, LCV, MOTORBIKE, CARAVAN",FULL_DOC,ALL,DOC_TYPE,"What income evidence is required for PAYG / self-employed / rental / pension? How are affordability, board, and mortgage payments assessed? What is needed for settlement?",high,2026-06-28
bfs_vehicle_types,BFS,ASSET_ELIGIBILITY,"CONSUMER, COMMERCIAL","MV_NEW, MV_USED, LCV, MOTORBIKE, CARAVAN",ALL,ALL,ASSET_AGE_MAX,What vehicles can BFS finance? Can I finance a motorcycle / caravan / campervan? What conditions apply to electric motorcycles? Does BFS finance heavy equipment?,high,2026-06-28
bfs_exclusions,BFS,EXCLUSIONS,"CONSUMER, COMMERCIAL, SUBPRIME, DISCHARGED_BANKRUPT",ALL,ALL,ALL,PRIVATE_SALE_LOADING,"Is this loan purpose excluded (debt consolidation, cash-out, refinance)? What triggers an auto-decline? Are interlock licences accepted? What can't Tier 4 / BFS Plus do?",high,2026-06-28
bfs_private_sales,BFS,ASSET_ELIGIBILITY,"CONSUMER, COMMERCIAL","MV_NEW, MV_USED, LCV, MOTORBIKE",ALL,"SMALL, MEDIUM",PRIVATE_SALE_LOADING,What is required for a private sale? What rate loading and loan cap apply? What is the private-sale establishment fee?,high,2026-06-28
bfs_fees_and_commission,BFS,FEES,"CONSUMER, COMMERCIAL",ALL,ALL,ALL,BROKERAGE_MAX,What establishment / PPSR / account fees apply? What is the early termination fee (consumer vs commercial)? When is commission clawed back?,high,2026-06-28
westpac_channels_overview,WESTPAC,ELIGIBILITY,"COMMERCIAL, NEW_CLIENT, EXISTING_CLIENT, PROPERTY_BACKED",ALL,"LOW_DOC, FULL_DOC",ALL,"MIN_ABN, PROPERTY_REQUIRED, MAX_LOAN",Which Westpac channel suits me? What are the universal eligibility criteria? Do I need to sign an Affordability Declaration?,high,2026-06-28
westpac_drivexpress,WESTPAC,ELIGIBILITY,"COMMERCIAL, NEW_CLIENT, EXISTING_CLIENT, PROPERTY_BACKED","MV_NEW, MV_USED, LCV, PRIMARY",LOW_DOC,"MEDIUM, LARGE","MAX_LOAN, PROPERTY_REQUIRED, MIN_ABN",What is the DriveXpress limit for a new-to-bank vs existing client? Which assets are Category A/B/C? What is the DriveXpress exposure cap?,high,2026-06-28
westpac_rollover,WESTPAC,SPECIAL_PROGRAMS,"COMMERCIAL, EXISTING_CLIENT","MV_NEW, MV_USED, LCV, PRIMARY",LOW_DOC,"LARGE, XLARGE","MAX_LOAN, MIN_ABN",Can I roll over an existing contract? What is the max loan if the original funder is Westpac vs another financier? Am I eligible if new to bank?,high,2026-06-28
westpac_replacement,WESTPAC,SPECIAL_PROGRAMS,"COMMERCIAL, NEW_CLIENT, EXISTING_CLIENT, PROPERTY_BACKED","MV_NEW, MV_USED, LCV, PRIMARY",LOW_DOC,"MEDIUM, LARGE, XLARGE","MAX_LOAN, MIN_ABN",What is the Replacement limit for new vs existing clients? What repayment increase is allowed? Can I replace multiple contracts with one? What buses qualify?,high,2026-06-28
westpac_medical,WESTPAC,SPECIAL_PROGRAMS,"COMMERCIAL, MEDICAL_PROFESSIONAL, NEW_CLIENT, PROPERTY_BACKED","MV_NEW, MV_USED, MEDICAL_EQUIP, OFFICE_EQUIP",LOW_DOC,"MEDIUM, LARGE","MAX_LOAN, PROPERTY_REQUIRED",What are the Medical channel limits for specialists vs allied health? Which professions qualify? Are pharmacists included? What are cumulative approval caps?,high,2026-06-28
westpac_xpress_rates,WESTPAC,PRICING,COMMERCIAL,"MV_NEW, MV_USED, EV, LCV, PRIMARY",LOW_DOC,ALL,"BASE_RATE, EV_DISCOUNT, PRIVATE_SALE_LOADING, BROKERAGE_MAX",What is the Xpress rate for a car by term (dealer vs private sale)? What is the heavy-equipment Xpress rate? What EV discount applies? What is the max brokerage?,high,2026-06-15
westpac_standard_rates,WESTPAC,PRICING,COMMERCIAL,"MV_NEW, MV_USED, EV, PRIMARY",FULL_DOC,"MICRO, SMALL, MEDIUM","BASE_RATE, EV_DISCOUNT",What is the standard rate for a new motor vehicle / plant by amount and term? What is the used-vehicle loading? What EV discount applies?,high,2026-06-15
westpac_settlement,WESTPAC,SETTLEMENT,COMMERCIAL,"MV_NEW, MV_USED, LCV, PRIMARY",ALL,ALL,PPSR,What is required to settle? When is a Certificate of Currency needed and what is the fleet-policy exemption? When is a PPSR search not required?,high,2026-06-28
westpac_exclusions,WESTPAC,EXCLUSIONS,COMMERCIAL,ALL,ALL,ALL,ASSET_AGE_MAX,Is this loan structure or asset excluded? Are private sales allowed for heavy equipment? What geographic restrictions apply? What if DriveXpress criteria aren't met?,high,2026-06-28
cfal_eligibility,CFAL,ELIGIBILITY,"COMMERCIAL, ABN_2_4YR, ABN_4_6YR, ABN_OVER_6YR",ALL,FULL_DOC,ALL,"MIN_ABN, MIN_GST",Who can apply to CFAL? What ABN/GST duration is required? Must directors guarantee? Are consumer loans available?,high,2026-06-28
cfal_documentation_matrix,CFAL,DOCUMENTATION,"COMMERCIAL, SELF_EMPLOYED",ALL,FULL_DOC,"MEDIUM, LARGE, XLARGE","DOC_TYPE, MIN_ABN",What documents does CFAL require by transaction size? When are cash-flow projections / aged debtors needed? Is there a Low Doc option?,high,2026-06-28
cfal_drivexpress_policy,CFAL,ELIGIBILITY,"COMMERCIAL, NEW_CLIENT, EXISTING_CLIENT, PROPERTY_BACKED","MV_NEW, MV_USED, LCV, PRIMARY",LOW_DOC,"MEDIUM, LARGE","MAX_LOAN, PROPERTY_REQUIRED, MIN_ABN",What is the CFAL DriveXpress limit for new vs existing clients? Which assets are Category A/B/C? Are financials needed if fast-track criteria are met?,high,2026-06-28
cfal_rollover_policy,CFAL,SPECIAL_PROGRAMS,"COMMERCIAL, EXISTING_CLIENT","MV_NEW, MV_USED, LCV, PRIMARY",LOW_DOC,"LARGE, XLARGE","MAX_LOAN, MIN_ABN",Can I roll over a contract with CFAL? What is the max loan by original funder? Are new-to-bank clients eligible?,high,2026-06-28
cfal_replacement_policy,CFAL,SPECIAL_PROGRAMS,"COMMERCIAL, NEW_CLIENT, EXISTING_CLIENT, PROPERTY_BACKED","MV_NEW, MV_USED, LCV, PRIMARY",LOW_DOC,"MEDIUM, LARGE, XLARGE","MAX_LOAN, MIN_ABN",What is the CFAL Replacement limit for new vs existing clients? What repayment increase is allowed? What buses and loan term apply under Category C?,high,2026-06-28
cfal_medical_policy,CFAL,SPECIAL_PROGRAMS,"COMMERCIAL, MEDICAL_PROFESSIONAL, NEW_CLIENT, PROPERTY_BACKED","MV_NEW, MV_USED, MEDICAL_EQUIP, OFFICE_EQUIP",LOW_DOC,"MEDIUM, LARGE","MAX_LOAN, PROPERTY_REQUIRED",What are CFAL Medical limits for specialists vs allied health? Which professions qualify? Are pharmacists included?,high,2026-06-28
cfal_settlement,CFAL,SETTLEMENT,COMMERCIAL,"MV_NEW, MV_USED, LCV, PRIMARY",ALL,ALL,PPSR,What is required to settle with CFAL? When is a Certificate of Currency needed and what is the fleet-policy exemption? When is a PPSR search not required?,high,2026-06-28
cfal_exclusions,CFAL,EXCLUSIONS,COMMERCIAL,ALL,ALL,ALL,ASSET_AGE_MAX,Is this asset or structure excluded by CFAL? Are private sales allowed for heavy equipment? What geographic restrictions apply? What if DriveXpress criteria aren't met?,high,2026-06-28
